"No","year","month","day","hour","season","PM_US.Post","DEWP","HUMI","PRES","TEMP","cbwd","Iws","precipitation","Iprec","date"
45080,2015,2,22,7,4,85,5,81.34,1021,8,"NW",115,0,0,2015-02-22
45084,2015,2,22,11,4,110,3,70.67,1023,8,"NE",4,0,0,2015-02-22
45088,2015,2,22,15,4,170,4,70.88,1021,9,"NE",21,0,0,2015-02-22
45092,2015,2,22,19,4,140,4,75.84,1023,8,"NE",36,0,0,2015-02-22
45096,2015,2,22,23,4,85,3,75.67,1023,7,"NE",53,0,0,2015-02-22
45100,2015,2,23,3,4,40,0,75.14,1022,4,"NE",73,0.6,1.1,2015-02-23
45104,2015,2,23,7,4,38,1,80.78,1023,4,"NE",86,0,0,2015-02-23
45108,2015,2,23,11,4,52,3,70.67,1023,8,"NE",2,0,0,2015-02-23
45112,2015,2,23,15,4,67,2,61.51,1020,9,"SE",3,0,0,2015-02-23
45116,2015,2,23,19,4,52,3,70.67,1020,8,"SE",11,0,0,2015-02-23
45120,2015,2,23,23,4,50,4,75.84,1021,8,"NE",2,0,0,2015-02-23
45124,2015,2,24,3,4,46,5,87.09,1019,7,"NE",12,0,0,2015-02-24
45128,2015,2,24,7,4,35,5,87.09,1019,7,"NE",21,0,0,2015-02-24
45132,2015,2,24,11,4,43,6,81.48,1020,9,"SE",8,0,0,2015-02-24
45136,2015,2,24,15,4,45,6,76.18,1017,10,"SE",20,0,0,2015-02-24
45140,2015,2,24,19,4,59,4,70.88,1018,9,"NE",4,0,0,2015-02-24
45144,2015,2,24,23,4,42,6,87.19,1019,8,"SE",12,1.2,1.2,2015-02-24
45148,2015,2,25,3,4,28,7,93.4,1017,8,"SE",3,1.3,1.4,2015-02-25
45152,2015,2,25,7,4,23,7,93.4,1016,8,"NE",11,0,0,2015-02-25
45160,2015,2,25,15,4,24,8,87.38,1016,10,"NE",8,4,5.4,2015-02-25
45168,2015,2,25,23,4,31,8,93.45,1018,9,"NE",30,0.3,13.1,2015-02-25
45172,2015,2,26,3,4,25,8,93.45,1018,9,"NE",43,0,0,2015-02-26
45176,2015,2,26,7,4,40,8,93.45,1020,9,"NE",57,0,0,2015-02-26
45180,2015,2,26,11,4,100,7,87.28,1022,9,"NE",81,0,0,2015-02-26
45184,2015,2,26,15,4,86,5,76.01,1022,9,"NE",103,0,0,2015-02-26
45188,2015,2,26,19,4,44,3,70.67,1023,8,"NE",125,0,0,2015-02-26
45192,2015,2,26,23,4,40,3,70.67,1025,8,"NE",142,0,0,2015-02-26
45196,2015,2,27,3,4,24,1,61.26,1025,8,"NE",159,0,0,2015-02-27
45200,2015,2,27,7,4,21,0,56.99,1026,8,"NE",177,0.1,0.1,2015-02-27
45204,2015,2,27,11,4,28,1,65.59,1027,7,"NE",200,0,0,2015-02-27
45208,2015,2,27,15,4,28,2,86.79,1026,4,"NE",219,2.5,2.5,2015-02-27
45212,2015,2,27,19,4,35,2,86.79,1027,4,"NE",238,0,0,2015-02-27
45216,2015,2,27,23,4,14,3,86.89,1026,5,"NE",254,0.9,0.9,2015-02-27
45220,2015,2,28,3,4,17,4,93.24,1025,5,"NE",263,0.5,4.2,2015-02-28
45224,2015,2,28,7,4,18,4,93.24,1024,5,"NE",279,0.2,6.3,2015-02-28
45228,2015,2,28,11,4,18,4,86.99,1023,6,"NE",297,,,2015-02-28
45232,2015,2,28,15,4,17,5,100,1021,5,"NE",313,,,2015-02-28
45236,2015,2,28,19,4,20,3,93.19,1023,4,"NE",335,0,0,2015-02-28
45240,2015,2,28,23,4,29,2,86.79,1026,4,"NW",25,0,0,2015-02-28
45244,2015,3,1,3,1,37,1,86.68,1025,3,"NW",50,0,0,2015-03-01
45248,2015,3,1,7,1,66,1,86.68,1028,3,"NW",73,0,0,2015-03-01
45252,2015,3,1,11,1,90,1,65.59,1027,7,"NW",98,0,0,2015-03-01
45256,2015,3,1,15,1,120,0,53.26,1025,9,"NW",118,0,0,2015-03-01
45276,2015,3,2,11,1,94,0,46.58,1021,11,"SW",6,0,0,2015-03-02
45280,2015,3,2,15,1,102,1,50.08,1016,11,"SE",23,0,0,2015-03-02
45284,2015,3,2,19,1,89,4,70.88,1014,9,"SE",47,0,0,2015-03-02
45288,2015,3,2,23,1,70,6,81.48,1014,9,"SE",67,0.7,1,2015-03-02
45292,2015,3,3,3,1,73,7,93.4,1013,8,"SW",11,0.1,1.6,2015-03-03
45296,2015,3,3,7,1,102,8,100,1014,8,"SW",4,0,0,2015-03-03
45300,2015,3,3,11,1,81,7,66.93,1014,13,"NW",15,0,0,2015-03-03
45304,2015,3,3,15,1,84,4,50.92,1014,14,"NW",46,0,0,2015-03-03
45308,2015,3,3,19,1,73,1,65.59,1020,7,"NE",21,0,0,2015-03-03
45312,2015,3,3,23,1,23,0,70.06,1023,5,"NE",50,0,0,2015-03-03
45316,2015,3,4,3,1,25,-3,56.18,1023,5,"NE",72,0,0,2015-03-04
45320,2015,3,4,7,1,20,-3,64.66,1026,3,"NE",89,0,0,2015-03-04
45324,2015,3,4,11,1,30,-3,52.41,1028,6,"NE",107,0,0,2015-03-04
45328,2015,3,4,15,1,24,-5,45.1,1026,6,"NE",126,0,0,2015-03-04
45332,2015,3,4,19,1,28,-4,52.13,1027,5,"NE",147,0,0,2015-03-04
45336,2015,3,4,23,1,23,-4,55.91,1028,4,"NE",165,0,0,2015-03-04
45340,2015,3,5,3,1,18,-3,60.25,1027,4,"NE",182,0,0,2015-03-05
45344,2015,3,5,7,1,20,-2,64.9,1027,4,"NE",196,0,0,2015-03-05
45348,2015,3,5,11,1,18,0,75.14,1027,4,"NE",212,0.1,0.1,2015-03-05
45352,2015,3,5,15,1,19,2,86.79,1025,4,"NE",4,0.1,0.3,2015-03-05
45356,2015,3,5,19,1,33,0,75.14,1025,4,"NE",22,0,0,2015-03-05
45360,2015,3,5,23,1,34,1,80.78,1025,4,"NE",37,0,0,2015-03-05
45364,2015,3,6,3,1,25,2,86.79,1025,4,"NE",50,0,0,2015-03-06
45368,2015,3,6,7,1,31,2,86.79,1025,4,"NE",60,0,0,2015-03-06
45372,2015,3,6,11,1,28,1,61.26,1025,8,"NE",72,0,0,2015-03-06
45376,2015,3,6,15,1,39,0,53.26,1022,9,"NE",6,0,0,2015-03-06
45380,2015,3,6,19,1,40,1,65.59,1023,7,"SE",3,0,0,2015-03-06
45384,2015,3,6,23,1,37,1,65.59,1023,7,"NE",10,0,0,2015-03-06
45388,2015,3,7,3,1,33,1,70.27,1023,6,"cv",0,0,0,2015-03-07
45392,2015,3,7,7,1,38,2,75.49,1024,6,"NE",1,0,0,2015-03-07
45396,2015,3,7,11,1,46,0,53.26,1024,9,"NE",9,0,0,2015-03-07
45400,2015,3,7,15,1,47,0,43.6,1022,12,"NW",3,0,0,2015-03-07
45404,2015,3,7,19,1,35,1,61.26,1023,8,"SE",5,0,0,2015-03-07
45408,2015,3,7,23,1,27,3,81.06,1024,6,"NE",1,0,0,2015-03-07
45412,2015,3,8,3,1,25,4,75.84,1022,8,"NE",7,0,0,2015-03-08
45416,2015,3,8,7,1,29,7,87.28,1020,9,"NE",12,0,0,2015-03-08
45420,2015,3,8,11,1,26,9,93.5,1019,10,"SE",6,0.4,0.4,2015-03-08
45424,2015,3,8,15,1,29,9,93.5,1015,10,"SE",22,1.1,1.5,2015-03-08
45428,2015,3,8,19,1,34,9,100,1016,9,"NW",3,0.4,6.2,2015-03-08
45432,2015,3,8,23,1,58,8,93.45,1019,9,"NW",23,0,0,2015-03-08
45436,2015,3,9,3,1,18,8,100,1021,8,"NE",11,0,0,2015-03-09
45440,2015,3,9,7,1,28,6,87.19,1024,8,"NW",9,0,0,2015-03-09
45444,2015,3,9,11,1,41,6,81.48,1027,9,"NW",33,0,0,2015-03-09
45448,2015,3,9,15,1,50,5,66.49,1027,11,"NE",20,0,0,2015-03-09
45452,2015,3,9,19,1,55,3,75.67,1030,7,"NE",52,0,0,2015-03-09
45456,2015,3,9,23,1,26,-1,65.13,1033,5,"NE",81,0,0,2015-03-09
45460,2015,3,10,3,1,27,-3,64.66,1033,3,"NE",110,0,0,2015-03-10
45464,2015,3,10,7,1,25,-5,64.18,1034,1,"NE",136,0,0,2015-03-10
45468,2015,3,10,11,1,22,-5,48.34,1034,5,"NW",3,0,0,2015-03-10
45472,2015,3,10,15,1,25,-6,39.01,1031,7,"NE",17,0,0,2015-03-10
45476,2015,3,10,19,1,34,-6,44.8,1031,5,"NE",7,0,0,2015-03-10
45480,2015,3,10,23,1,27,-3,60.25,1031,4,"SE",3,0,0,2015-03-10
45484,2015,3,11,3,1,35,-3,64.66,1029,3,"SE",11,0,0,2015-03-11
45488,2015,3,11,7,1,26,-3,64.66,1029,3,"SE",4,0,0,2015-03-11
45492,2015,3,11,11,1,49,-4,42.4,1028,8,"SW",5,0,0,2015-03-11
45496,2015,3,11,15,1,59,-5,32.14,1025,11,"NW",5,0,0,2015-03-11
45500,2015,3,11,19,1,61,0,56.99,1025,8,"SW",13,0,0,2015-03-11
45504,2015,3,11,23,1,56,0,65.36,1025,6,"SE",1,0,0,2015-03-11
45508,2015,3,12,3,1,50,0,75.14,1024,4,"cv",0,0,0,2015-03-12
45512,2015,3,12,7,1,59,2,80.92,1024,5,"SW",3,0,0,2015-03-12
45516,2015,3,12,11,1,88,-1,35.57,1024,14,"SW",15,0,0,2015-03-12
45520,2015,3,12,15,1,84,-3,26.98,1019,16,"SW",31,0,0,2015-03-12
45524,2015,3,12,19,1,85,-1,43.31,1019,11,"SE",10,0,0,2015-03-12
45528,2015,3,12,23,1,58,4,70.88,1019,9,"SE",29,0,0,2015-03-12
45532,2015,3,13,3,1,70,4,75.84,1017,8,"SE",41,0,0,2015-03-13
45536,2015,3,13,7,1,84,5,81.34,1019,8,"SW",4,0,0,2015-03-13
45540,2015,3,13,11,1,91,7,45.65,1019,19,"SW",14,0,0,2015-03-13
45544,2015,3,13,15,1,74,6,40.04,1017,20,"NW",5,0,0,2015-03-13
45548,2015,3,13,19,1,143,9,63.18,1019,16,"SW",2,0,0,2015-03-13
45552,2015,3,13,23,1,123,7,76.35,1021,11,"SW",2,0,0,2015-03-13
45556,2015,3,14,3,1,139,7,81.61,1022,10,"NE",4,0,0,2015-03-14
45560,2015,3,14,7,1,150,7,76.35,1022,11,"NE",19,0,0,2015-03-14
45564,2015,3,14,11,1,92,8,71.66,1023,13,"NE",33,0,0,2015-03-14
45568,2015,3,14,15,1,86,9,81.88,1021,12,"NE",51,0.1,0.1,2015-03-14
45572,2015,3,14,19,1,72,9,87.47,1022,11,"NE",67,1.9,6.2,2015-03-14
45576,2015,3,14,23,1,54,9,93.5,1021,10,"NE",7,0,0,2015-03-14
45580,2015,3,15,3,1,67,9,93.5,1019,10,"SE",13,0,0,2015-03-15
45584,2015,3,15,7,1,81,9,87.47,1020,11,"NE",5,0,0,2015-03-15
45588,2015,3,15,11,1,51,10,87.57,1021,12,"NE",18,0,0,2015-03-15
45592,2015,3,15,15,1,38,9,81.88,1019,12,"NE",35,0,0,2015-03-15
45596,2015,3,15,19,1,50,9,87.47,1020,11,"NE",54,0,0,2015-03-15
45600,2015,3,15,23,1,31,10,93.55,1020,11,"SE",9,0,0,2015-03-15
45604,2015,3,16,3,1,24,10,93.55,1019,11,"NE",6,0.4,1.6,2015-03-16
45608,2015,3,16,7,1,25,11,100,1019,11,"NE",17,2.7,7.2,2015-03-16
45612,2015,3,16,11,1,31,12,93.65,1018,13,"SE",15,0,0,2015-03-16
45616,2015,3,16,15,1,46,12,82.27,1016,15,"SE",27,0,0,2015-03-16
45620,2015,3,16,19,1,50,12,87.75,1016,14,"SE",42,0,0,2015-03-16
45624,2015,3,16,23,1,21,12,93.65,1017,13,"SE",55,0,0,2015-03-16
45628,2015,3,17,3,1,17,12,93.65,1015,13,"SE",69,0,0,2015-03-17
45632,2015,3,17,7,1,31,13,100,1015,13,"SE",83,0,0,2015-03-17
45636,2015,3,17,11,1,32,14,77.48,1012,18,"SE",100,0,0,2015-03-17
45640,2015,3,17,15,1,39,16,64.76,1007,23,"SE",119,0,0,2015-03-17
45644,2015,3,17,19,1,61,16,77.79,1008,20,"NE",3,0,0,2015-03-17
45648,2015,3,17,23,1,54,15,88.02,1008,17,"NW",3,0,0,2015-03-17
45652,2015,3,18,3,1,38,16,93.84,1004,17,"SE",3,10.9,15.9,2015-03-18
45656,2015,3,18,7,1,41,16,100,1005,16,"NW",4,0.4,19.3,2015-03-18
45660,2015,3,18,11,1,71,13,82.4,1008,16,"NW",30,0,0,2015-03-18
45664,2015,3,18,15,1,61,12,77.17,1007,16,"NW",52,0,0,2015-03-18
45668,2015,3,18,19,1,74,11,93.6,1009,12,"NW",6,1,1.1,2015-03-18
45672,2015,3,18,23,1,26,10,93.55,1014,11,"NW",5,1.4,14.2,2015-03-18
45676,2015,3,19,3,1,67,9,93.5,1013,10,"NW",25,0,0,2015-03-19
45680,2015,3,19,7,1,120,10,93.55,1017,11,"NW",40,0,0,2015-03-19
45684,2015,3,19,11,1,77,9,76.68,1018,13,"NE",11,0,0,2015-03-19
45688,2015,3,19,15,1,70,11,67.78,1015,17,"NE",25,0,0,2015-03-19
45692,2015,3,19,19,1,69,10,67.57,1016,16,"NE",40,0,0,2015-03-19
45696,2015,3,19,23,1,59,10,76.84,1017,14,"SE",4,0,0,2015-03-19
45700,2015,3,20,3,1,62,8,76.52,1018,12,"NE",12,0,0,2015-03-20
45704,2015,3,20,7,1,47,10,93.55,1019,11,"NE",2,0.2,4.7,2015-03-20
45708,2015,3,20,11,1,65,8,81.75,1021,11,"NE",18,0,0,2015-03-20
45712,2015,3,20,15,1,61,9,71.85,1018,14,"SE",4,0,0,2015-03-20
45716,2015,3,20,19,1,58,10,87.57,1020,12,"NE",6,1.7,3.3,2015-03-20
45720,2015,3,20,23,1,49,8,81.75,1020,11,"NE",17,0.1,0.4,2015-03-20
45724,2015,3,21,3,1,61,10,93.55,1020,11,"NW",2,0,0,2015-03-21
45728,2015,3,21,7,1,96,10,87.57,1021,12,"NW",2,0,0,2015-03-21
45732,2015,3,21,11,1,99,11,72.23,1021,16,"NW",15,0,0,2015-03-21
45736,2015,3,21,15,1,76,9,49.15,1018,20,"NE",7,0,0,2015-03-21
45740,2015,3,21,19,1,132,11,67.78,1020,17,"NW",9,0,0,2015-03-21
45744,2015,3,21,23,1,125,10,76.84,1022,14,"cv",1,0,0,2015-03-21
45748,2015,3,22,3,1,125,10,93.55,1021,11,"cv",0,0,0,2015-03-22
45752,2015,3,22,7,1,61,10,87.57,1023,12,"NE",3,0,0,2015-03-22
45756,2015,3,22,11,1,33,-5,18.06,1024,20,"NE",3,0,0,2015-03-22
45760,2015,3,22,15,1,43,-4,18.31,1022,21,"NE",8,0,0,2015-03-22
45764,2015,3,22,19,1,42,-9,17.05,1024,16,"NE",29,0,0,2015-03-22
45768,2015,3,22,23,1,38,-4,30.39,1026,13,"NE",46,0,0,2015-03-22
45772,2015,3,23,3,1,35,5,66.49,1025,11,"NE",8,0,0,2015-03-23
45776,2015,3,23,7,1,41,6,71.27,1026,11,"NE",19,0,0,2015-03-23
45780,2015,3,23,11,1,21,3,47.46,1028,14,"NE",37,0,0,2015-03-23
45784,2015,3,23,15,1,15,-2,30.98,1027,15,"NE",56,0,0,2015-03-23
45788,2015,3,23,19,1,22,0,43.6,1029,12,"SE",19,0,0,2015-03-23
45792,2015,3,23,23,1,19,2,57.51,1031,10,"NE",11,0,0,2015-03-23
45796,2015,3,24,3,1,13,1,57.25,1031,9,"NE",23,0,0,2015-03-24
45800,2015,3,24,7,1,16,2,57.51,1033,10,"NE",36,0,0,2015-03-24
45804,2015,3,24,11,1,19,-7,21.24,1034,15,"NE",57,0,0,2015-03-24
45808,2015,3,24,15,1,17,-4,26.69,1032,15,"NE",80,0,0,2015-03-24
45812,2015,3,24,19,1,23,0,46.58,1033,11,"SE",14,0,0,2015-03-24
45816,2015,3,24,23,1,16,2,57.51,1034,10,"SE",4,0,0,2015-03-24
45820,2015,3,25,3,1,21,2,61.51,1033,9,"NE",10,0,0,2015-03-25
45824,2015,3,25,7,1,27,3,66.05,1033,9,"SE",4,0,0,2015-03-25
45828,2015,3,25,11,1,16,-2,30.98,1034,15,"NE",6,0,0,2015-03-25
45832,2015,3,25,15,1,17,-3,26.98,1032,16,"NE",11,0,0,2015-03-25
45836,2015,3,25,19,1,28,2,53.81,1033,11,"NE",6,0,0,2015-03-25
45840,2015,3,25,23,1,34,5,71.07,1034,10,"SE",20,0,0,2015-03-25
45844,2015,3,26,3,1,15,5,71.07,1031,10,"SE",33,0,0,2015-03-26
45848,2015,3,26,7,1,24,7,76.35,1032,11,"SE",48,0,0,2015-03-26
45852,2015,3,26,11,1,29,6,51.48,1032,16,"SE",73,0,0,2015-03-26
45856,2015,3,26,15,1,27,6,51.48,1029,16,"SE",99,0,0,2015-03-26
45860,2015,3,26,19,1,39,9,81.88,1029,12,"NE",9,1.2,2,2015-03-26
45864,2015,3,26,23,1,24,10,93.55,1029,11,"SE",7,3.7,14.4,2015-03-26
45868,2015,3,27,3,1,17,10,93.55,1026,11,"NE",15,0.4,21.1,2015-03-27
45872,2015,3,27,7,1,26,10,93.55,1026,11,"NE",27,0.1,0.1,2015-03-27
45876,2015,3,27,11,1,33,10,87.57,1027,12,"NE",37,0,0,2015-03-27
45880,2015,3,27,15,1,32,10,82.01,1025,13,"NE",51,0,0,2015-03-27
45884,2015,3,27,19,1,44,10,87.57,1024,12,"NE",3,0,0,2015-03-27
45888,2015,3,27,23,1,32,8,81.75,1024,11,"SE",6,0,0,2015-03-27
45892,2015,3,28,3,1,28,8,87.38,1021,10,"SE",1,0,0,2015-03-28
45896,2015,3,28,7,1,56,9,87.47,1021,11,"SW",2,0,0,2015-03-28
45900,2015,3,28,11,1,61,11,67.78,1020,17,"SW",15,0,0,2015-03-28
45904,2015,3,28,15,1,70,10,52.56,1016,20,"SW",28,0,0,2015-03-28
45908,2015,3,28,19,1,121,12,72.42,1016,17,"SW",38,0,0,2015-03-28
45912,2015,3,28,23,1,82,10,82.01,1017,13,"SE",7,0,0,2015-03-28
45916,2015,3,29,3,1,77,10,87.57,1017,12,"SE",13,0,0,2015-03-29
45920,2015,3,29,7,1,93,11,87.66,1018,13,"SE",2,0,0,2015-03-29
45924,2015,3,29,11,1,58,12,53.1,1018,22,"SW",9,0,0,2015-03-29
45928,2015,3,29,15,1,72,11,46.78,1015,23,"SE",4,0,0,2015-03-29
45932,2015,3,29,19,1,89,10,52.56,1016,20,"SE",22,0,0,2015-03-29
45936,2015,3,29,23,1,52,10,63.41,1016,17,"SE",41,0,0,2015-03-29
45948,2015,3,30,11,1,33,14,93.75,1015,15,"SE",102,1.5,5.6,2015-03-30
45952,2015,3,30,15,1,38,14,87.93,1012,16,"SE",125,0,0,2015-03-30
45956,2015,3,30,19,1,31,14,87.93,1012,16,"SE",145,0,0,2015-03-30
45960,2015,3,30,23,1,42,15,93.8,1013,16,"SE",160,0,0,2015-03-30
45964,2015,3,31,3,1,46,15,100,1011,15,"SE",168,0,0,2015-03-31
45968,2015,3,31,7,1,57,15,93.8,1011,16,"SE",177,0,0,2015-03-31
45972,2015,3,31,11,1,43,18,57.93,1011,27,"SW",14,0,0,2015-03-31
45976,2015,3,31,15,1,55,17,48.42,1007,29,"NW",6,0,0,2015-03-31
45980,2015,3,31,19,1,74,19,69.4,1009,25,"SE",4,0,0,2015-03-31
45984,2015,3,31,23,1,76,17,73.32,1011,22,"SE",13,0,0,2015-03-31
45988,2015,4,1,3,1,52,17,82.89,1009,20,"cv",2,0,0,2015-04-01
45992,2015,4,1,7,1,84,18,83.01,1011,21,"SE",3,0,0,2015-04-01
45996,2015,4,1,11,1,33,17,54.39,1011,27,"SE",4,0,0,2015-04-01
46000,2015,4,1,15,1,36,18,57.93,1008,27,"NE",23,0,0,2015-04-01
46004,2015,4,1,19,1,33,16,88.11,1007,18,"NE",43,0,0,2015-04-01
46008,2015,4,1,23,1,34,16,93.84,1006,17,"NE",66,0,0,2015-04-01
46012,2015,4,2,3,1,24,16,88.11,1002,18,"SE",13,0,0,2015-04-02
46016,2015,4,2,7,1,14,15,77.64,1001,19,"SE",30,0,0,2015-04-02
46020,2015,4,2,11,1,43,18,54.65,1000,28,"SW",13,0,0,2015-04-02
46024,2015,4,2,15,1,49,19,48.96,996,31,"SW",13,0,0,2015-04-02
46028,2015,4,2,19,1,29,19,83.13,999,22,"NW",5,0.7,0.7,2015-04-02
46032,2015,4,2,23,1,44,17,93.89,1002,18,"NE",8,0,0,2015-04-02
46036,2015,4,3,3,1,59,14,93.75,1004,15,"NE",4,0.9,8.8,2015-04-03
46040,2015,4,3,7,1,75,11,87.66,1008,13,"NE",12,0,0,2015-04-03
46044,2015,4,3,11,1,94,10,76.84,1010,14,"NE",31,0,0,2015-04-03
46048,2015,4,3,15,1,79,9,71.85,1009,14,"NE",53,0,0,2015-04-03
46052,2015,4,3,19,1,55,8,71.66,1011,13,"NE",68,0,0,2015-04-03
46056,2015,4,3,23,1,36,9,76.68,1011,13,"NE",11,0,0,2015-04-03
46060,2015,4,4,3,1,37,10,82.01,1008,13,"NE",8,0,0,2015-04-04
46064,2015,4,4,7,1,43,12,93.65,1007,13,"SE",15,0,0,2015-04-04
46068,2015,4,4,11,1,33,14,87.93,1006,16,"SE",15,0,0,2015-04-04
46072,2015,4,4,15,1,69,15,82.65,1008,18,"NW",11,0,0,2015-04-04
46076,2015,4,4,19,1,111,14,82.52,1011,17,"NW",28,0,0,2015-04-04
46080,2015,4,4,23,1,110,14,93.75,1013,15,"NE",10,0,0,2015-04-04
46084,2015,4,5,3,1,78,13,87.84,1013,15,"NE",7,0,0,2015-04-05
46088,2015,4,5,7,1,50,13,93.7,1012,14,"NE",10,0.2,3.3,2015-04-05
46092,2015,4,5,11,1,60,13,87.84,1013,15,"NE",2,0,0,2015-04-05
46096,2015,4,5,15,1,57,12,87.75,1011,14,"NE",20,0,0,2015-04-05
46100,2015,4,5,19,1,30,11,93.6,1014,12,"NE",39,0,0,2015-04-05
46104,2015,4,5,23,1,6,11,100,1015,11,"NE",58,3,12,2015-04-05
46108,2015,4,6,3,1,9,11,100,1016,11,"NW",3,,,2015-04-06
46112,2015,4,6,7,1,6,11,100,1018,11,"NE",20,,,2015-04-06
46116,2015,4,6,11,1,19,9,87.47,1019,11,"NE",14,0,0,2015-04-06
46120,2015,4,6,15,1,15,10,87.57,1020,12,"NE",37,0.9,0.9,2015-04-06
46124,2015,4,6,19,1,43,9,93.5,1023,10,"NE",61,0.3,5.4,2015-04-06
46128,2015,4,6,23,1,35,8,93.45,1025,9,"NE",86,1,1.3,2015-04-06
46132,2015,4,7,3,1,22,6,87.19,1025,8,"NE",110,0,0,2015-04-07
46136,2015,4,7,7,1,29,4,75.84,1026,8,"NE",133,0,0,2015-04-07
46140,2015,4,7,11,1,27,4,70.88,1027,9,"NE",161,0.2,0.2,2015-04-07
46144,2015,4,7,15,1,18,5,81.34,1026,8,"NE",184,0.7,3.9,2015-04-07
46148,2015,4,7,19,1,20,4,86.99,1029,6,"NE",209,1.4,8.1,2015-04-07
46152,2015,4,7,23,1,27,3,86.89,1030,5,"NW",7,0,0,2015-04-07
46156,2015,4,8,3,1,42,3,86.89,1029,5,"NW",23,0,0,2015-04-08
46160,2015,4,8,7,1,31,3,75.67,1029,7,"NW",39,0,0,2015-04-08
46164,2015,4,8,11,1,30,2,53.81,1029,11,"NE",15,0,0,2015-04-08
46176,2015,4,8,23,1,24,1,61.26,1026,8,"NE",27,0,0,2015-04-08
46208,2015,4,10,7,1,41,8,76.52,1023,12,"NE",2,0,0,2015-04-10
46232,2015,4,11,7,1,45,8,81.75,1025,11,"cv",1,,,2015-04-11
46236,2015,4,11,11,1,27,1,31.87,1025,18,"NE",14,0,0,2015-04-11
46240,2015,4,11,15,1,46,4,34.83,1022,20,"NE",4,0,0,2015-04-11
46256,2015,4,12,7,1,54,9,76.68,1020,13,"SE",41,0,0,2015-04-12
46260,2015,4,12,11,1,49,8,48.87,1020,19,"SE",56,0,0,2015-04-12
46268,2015,4,12,19,1,49,6,48.31,1017,17,"SE",8,0,0,2015-04-12
46272,2015,4,12,23,1,45,9,76.68,1022,13,"NW",20,0,0,2015-04-12
46276,2015,4,13,3,1,43,7,76.35,1020,11,"NW",39,0,0,2015-04-13
46292,2015,4,13,19,1,36,-1,40.54,1017,12,"NW",159,0,0,2015-04-13
46296,2015,4,13,23,1,55,2,61.51,1017,9,"NW",186,0.1,0.1,2015-04-13
46300,2015,4,14,3,1,47,5,81.34,1014,8,"NW",213,0.5,0.5,2015-04-14
46304,2015,4,14,7,1,59,5,76.01,1014,9,"NW",240,0,0,2015-04-14
46308,2015,4,14,11,1,89,6,71.27,1016,11,"NW",271,0,0,2015-04-14
46312,2015,4,14,15,1,62,5,45.07,1013,17,"NW",305,0,0,2015-04-14
46316,2015,4,14,19,1,63,6,54.88,1013,15,"SW",3,0,0,2015-04-14
46320,2015,4,14,23,1,79,6,71.27,1014,11,"SW",12,0,0,2015-04-14
46324,2015,4,15,3,1,90,6,71.27,1013,11,"SW",4,0,0,2015-04-15
46328,2015,4,15,7,1,85,8,71.66,1013,13,"SW",15,0,0,2015-04-15
46332,2015,4,15,11,1,54,5,35.13,1013,21,"SW",33,0,0,2015-04-15
46336,2015,4,15,15,1,51,6,33.34,1010,23,"SW",54,0,0,2015-04-15
46340,2015,4,15,19,1,71,6,42.61,1011,19,"SE",7,0,0,2015-04-15
46344,2015,4,15,23,1,71,10,63.41,1011,17,"SE",3,0,0,2015-04-15
46348,2015,4,16,3,1,76,9,59.29,1009,17,"SW",12,,,2015-04-16
46352,2015,4,16,7,1,74,10,59.54,1010,18,"SW",6,,,2015-04-16
46356,2015,4,16,11,1,77,11,49.7,1012,22,"NW",2,0,0,2015-04-16
46360,2015,4,16,15,1,72,12,60.03,1013,20,"NE",11,0,0,2015-04-16
46364,2015,4,16,19,1,42,6,54.88,1015,15,"NE",40,0,0,2015-04-16
46368,2015,4,16,23,1,32,4,50.92,1018,14,"SE",2,0,0,2015-04-16
46372,2015,4,17,3,1,38,6,62.48,1016,13,"SE",10,0,0,2015-04-17
46376,2015,4,17,7,1,31,7,62.71,1017,14,"SE",27,0,0,2015-04-17
46380,2015,4,17,11,1,22,4,37.06,1016,19,"SE",56,0,0,2015-04-17
46384,2015,4,17,15,1,28,8,45.93,1012,20,"SE",87,0,0,2015-04-17
46388,2015,4,17,19,1,30,11,72.23,1012,16,"SE",22,0,0,2015-04-17
46392,2015,4,17,23,1,38,14,82.52,1011,17,"SE",48,0,0,2015-04-17
46396,2015,4,18,3,1,53,16,93.84,1008,17,"SE",65,0,0,2015-04-18
46400,2015,4,18,7,1,47,17,93.89,1008,18,"SE",80,0,0,2015-04-18
46404,2015,4,18,11,1,51,15,57.2,1008,24,"SW",8,0,0,2015-04-18
46408,2015,4,18,15,1,73,16,57.44,1005,25,"SE",3,0,0,2015-04-18
46412,2015,4,18,19,1,64,16,73.14,1005,21,"SE",13,0,0,2015-04-18
46416,2015,4,18,23,1,76,16,88.11,1006,18,"SE",21,0,0,2015-04-18
46420,2015,4,19,3,1,62,17,88.2,1005,19,"NW",3,0.7,0.7,2015-04-19
46424,2015,4,19,7,1,95,18,93.94,1006,19,"NW",14,0,0,2015-04-19
46428,2015,4,19,11,1,171,19,83.13,1005,22,"NE",5,0,0,2015-04-19
46432,2015,4,19,15,1,153,18,69.2,1003,24,"NE",5,0,0,2015-04-19
46436,2015,4,19,19,1,90,17,77.94,1004,21,"SE",7,0,0,2015-04-19
46440,2015,4,19,23,1,22,12,93.65,1007,13,"NE",24,0.1,0.8,2015-04-19
